wti,spread,n_completed,n_overruns,ess_d,tail_ess,n_admissible,n_eligible,wti_weighted_mean,brent_weighted_mean,wti_bias_abs,wti_bias_rel,ev_usd,cvar_usd,var_usd,decision_ratio,p_loss,mean_delta_usd,std_delta_usd,skew_delta,median_delta_usd,p10_delta_usd,p90_delta_usd,sigma_calibration_obs,scenario_price_range
60.75,6.5,10000,0,112.26373396101386,10.240865148287726,193,1917,61.2987260672808,66.88814932174373,0.5487260672807963,0.009032527856474,1230561.6300340344,5658605.075370055,4877005.431884485,0.2174673110498985,0.3476,-93533.47751399995,417548.7042160924,-0.4999719462747503,-56901.95999999996,-633256.13,435018.2999999998,763,10.0
61.0,3.5,10000,0,86.70053251301553,9.110787172011662,148,1917,60.75242297012554,65.4524940861895,0.2475770298744564,0.0040586398340074,1958892.2124482144,5085159.653391499,3624352.846104604,0.3852174456591053,0.2721,-71248.22452599998,390972.2773326677,-0.9766070357701976,-32436.134999999776,-574212.927,348395.3999999992,682,10.0
61.0,3.75,10000,0,89.92860390444797,8.630212648439658,154,1917,60.82918877031644,65.54949621125482,0.1708112296835651,0.0028001840931731,1815607.2599535773,5199509.018686703,3732570.5941149527,0.3491882124693699,0.2864,-83597.52743499998,401362.5268931424,-0.971978536308099,-40817.98500000005,-586560.7800000003,348395.39999999944,690,10.0
61.0,4.0,10000,0,95.13969852787469,9.327662114767556,162,1917,60.95802193898723,65.69538503536128,0.0419780610127702,0.0006881649346355,1891825.3146474792,5014728.049148261,3550412.662922978,0.3772538203679462,0.2721,-91317.25164099998,400929.4266991784,-0.8748308568397983,-42474.69000000041,-605027.6400000001,348395.399999999,702,10.0
61.0,4.25,10000,0,97.2544401551368,9.720818104051636,165,1917,60.98279035410175,65.74178332519783,0.0172096458982551,0.0002821253425943,1840820.7384375653,5090145.91802342,3691593.269799003,0.3616440015834328,0.2747,-85931.128278,403993.9783010449,-1.0038799117598245,-41667.5700000003,-605027.6399999999,370860.2399999994,717,10.0
61.0,4.5,10000,0,101.94176123520498,9.193880553103854,170,1917,61.099658613883655,65.910649301745,0.0996586138836548,0.0016337477685845,1807762.3867143209,5147456.179787676,3815467.684648138,0.3511952940586059,0.2798,-92755.361869,400143.6318853186,-0.8525373857296517,-51021.83999999944,-614356.2600000009,373063.9740000009,725,10.0
61.0,4.75,10000,0,107.96706048554988,10.630155625478356,177,1917,61.22253121571288,66.08472244541488,0.2225312157128769,0.0036480527166045,1892764.5453327843,4993103.919973263,3587936.540997154,0.379075736389424,0.2633,-96729.34741499998,404602.8079616967,-0.9152802692329308,-48528.08999999985,-614792.4810000005,362483.5199999999,731,10.0
61.0,5.0,10000,0,110.88197839092508,10.193264290956536,183,1917,61.233759253893496,66.15827096329102,0.2337592538934956,0.0038321189162868,1745043.1806738006,5090593.252835888,3822339.003197285,0.3427976060946659,0.2844,-96721.13270799998,407667.6176881282,-0.858292070343311,-51021.83999999915,-628063.6200000006,375810.1200000001,742,10.0
61.0,5.25,10000,0,114.6556245407371,10.5797714769361,191,1917,61.27470149649237,66.27459736131415,0.2747014964923693,0.0045033032211863,1644650.871428851,5370136.378287842,4460348.172254669,0.3062586786582158,0.2955,-94239.79719399998,404026.7103154151,-0.787115535890832,-51021.83999999959,-618718.4700000001,375810.120000001,754,10.0
61.0,5.5,10000,0,114.99829679755636,10.378611756891395,192,1917,61.39809707942142,66.50049604577576,0.3980970794214187,0.0065261816298593,1453161.018182764,5474894.347532922,4710578.969478301,0.265422659496175,0.3227,-93609.78396499997,412339.4395266893,-0.6547740125628366,-54480.59999999963,-636630.7199999995,399988.3799999999,765,10.0
61.0,5.75,10000,0,113.88151353829431,10.339978492844732,190,1917,61.44779416249847,66.61224747759373,0.447794162498468,0.0073408879098109,1433463.323444234,5410713.071946798,4564853.902288652,0.2649305746550089,0.3218,-95932.228692,409718.1102313703,-0.6388564949929932,-61542.89999999991,-633256.1300000001,399988.3799999999,767,10.0
